,short_description,label
483,occa guru parab nanak becam rebelli age import thing guru nanak life,0
646,indian armi tweet letter fake agreement viral name bipin rawat,1
26,world largest vaccin program start india mani peopl doubt vaccin,0
70,claim today nihang singh left delhi support farmer thousand hor punjab,1
142,boom found total four pictur shahe e azam bhagat singh found till date viral pictur one,1
657,film made former sri lankan spinner muttiah muralitharan took wicket test odi match oppo muralitharan,0
541,rift pakistan afghanistan old old india afghanistan,0
616,jyotiraditya first elect join bjp lot peopl join parti lot credibl,0
18,ralli peopl took placard includ pictur mani leader world includ modi wrote sindh need freedom pakistan,0
614,bihar nda got absolut major yet movement form govern nitish kumar consid one five option,0
270,boom found photo case famili patient came get stone kidney doctor,1
565,term ticket distribut parti given ticket muslim candid except jdu four constitu parti rule parti,0
666,pakistan foreign polici seem chang day pakistan bow toward turkey till,0
323,boom contact bjp leader vika dubey seen viral pictur found claim absolut baseless,1
489,boom found indian armi term claim wrong pictur use claim old india,1
664,firstpost quint wrote mislead articl parineeti chopra brand ambassador beti bachao beti padhao,1
502,tweet fact check team press inform bureau said claim made viral clip fake,1
663,nikita tomar hou faridabad influx peopl rel say daughter die chang religion,0
246,must seen mani film porter difficult real life porter,0
213,grand allianc govern led jharkhand mukti morcha complet one year state power decemb,0
247,next day christma name box day anyth box,0
434,question ari whether rbi enough monitor indian bank sector,0
739,boom found incid rohta bihar women consid child thief mob,1
520,said ahm patel sonia gandhi believ leader capabl equal amit shah entir bjp,0
43,adani wilmar brand actual part brand locomot help railway earn revenu,1
389,bjp presid jp nadda adopt aggress attitud rule trinamool congress state two day visit kolkata,0
553,boom found pictur edit text instruct urin,1
642,accord defen deal franc give hammer missil india year view need india french air forc decid give missil india cach india,0
353,viral post claim suprem court order june name countri chang india india,1
135,boom found photo old show current statu karachi,1
167,amid tension india chine presid xi jinp taken power deploy armi,0
16,bbc audienc reader listen spread world vote favor indian languag platform bbc sport websit vote favor player select basi vote name win player announc march,0
413,boom discov poster actual made fan art actor shahrukh khan show tipu sultan,1
397,investig boom found video asansol station migrant serv stale food,1
729,pictur made websit screenshot mimick news bulletin,1
159,photo anti discrimin campaign use spread commun fake inform photoshop,1
13,munawwar farooqui arrest make alleg indec remark hindu deiti amit shah show indor,1
472,tamil commun pakistan settl karachi tamil nadu time partit,0
267,challeng front peopl suffer fungu infect even bigger,0
585,politician celebr festiv light,0
499,china polici new us administr estim import india,0
10,test match held gaba maidan brisban record histori india seri name,0
660,boom found sub temperatur run viral clip indic correct way said,1
153,boom found woman husband hindu commun angl incid,1
520,boom contact dr ram manohar lohia hospit delhi safdarjung hospit hospit patient,1
122,boom found actual cartoon word shaheen bagh ad separ,1
417,meanwhil also news union home minist amit shah call farmer leader today meet farmer leader,0
305,train indo bangladesh go haldibari west bengal chilliti bangladesh,0
691,clean staff corpor also goe strike salari delhi delhi convert pile garbag,0
562,belgian racer pigeon sold record million dollar two year old femal pigeon name new kim,0
260,screw stuck call special session assembl governor reject recommend cabinet,0
25,age instagram thousand follow youtub quarter two lakh subscrib becam famou low age girl malisha live slum mumbai,0
382,boom came know investig clip part long video made kenyan comedian restor yake,1
145,year old prabhat sahu develop techniqu help cryptographi help also transact without password otp,0
471,boom spoke superintend polic abid khan becom center fake inform,1
324,boom found apach helicopt actual fli due routin drill havasu lake arizona,1
224,boom spoke local polic templ priest deni matter commun,1
527,senior congress leader ghulam nabi azad comment parti perform,0
694,sever import agreement includ basic exchang cooper agreement beca india america,0
216,boom found handl earlier name wewantrahul tweet support congress,1
117,drug control gener india dcgi sunday allow emerg use two vaccin treatment kovid,0
294,initi differ type thing said korona viru peopl reject call varieti najl,0
676,china told arrang made soldier post mountain read major headlin today newspap,0
152,talk boom neet topper akanksha singh father describ disput tweet twitter handl fake,1
180,boom found separ slogan written two year old pictur,1
726,boom found pictur actual taken eleven year ago feroz shah kotla mosqu delhi,1
278,news instead corona mani countri includ india ban flight come britain,0
315,uk foreign minist domin rob visit india met prime minist narendra modi extern affair minist sajayshankar occa bbc spoke detail mani issu,0
217,inform propo central vista project list question also get longer suprem court call govern attitud creation parliament aggress,0
287,boom receiv copi fir confirm three accu muslim,1
81,talk boom bilki bano said yet particip farmer protest soon,1
334,boom found pictur internet sinc digit artwork,1
546,salman ravi honor one facebook live may,0
618,parti deni viral list candid given commun angl,1
103,deadlock end even eight round talk leader farmer govern oppo three agricultur law,0
262,america india second term farm term yield america also behind china,0
373,farmer organ go intensifi agit today new agricultur law modi govern,0
687,tejashwi yadav inherit polit differ heir chirag paswan akhilesh yadav,0
497,pm narendra modi visit three compani countri make vaccin take stock progress work make vaccin,0
289,boom found pictur share mani pakistani social media handl past sever year punjab pakistan,1
656,boom abl find person seen video vinod sarang senior inspector delhi polic,1
644,women prison lodg nari bandi niketan lucknow celebr festiv karvachauth insid jail,0
21,gujarat chief minist vijay rupani announc grace rs lakh famili decea,0
248,govern say incom farmer increa due new law,0
740,today cartoon suspend trp tv channel barc,0
703,boom examin two list number find scam work,1
570,boom found pictur taken may imran khan went meet arvind kejriw delhi,1
495,viral post fal claim sachin tendulkar ban sale meat due outbreak kornaviru,1
292,constant question china korona epidem epidem engulf world affect due common life world trade,0
119,roof crematorium collap muradnagar area ghaziabad district uttar pradesh peopl die incid,0
250,viral pictur claim amit shah went dwarkadhish templ neg test corona viru,1
493,farmer punjab haryana western uttar pradesh oppo new agricultur law million come delhi modi govern center call repr farmer talk decemb,0
612,chairman suprem court bar associ said object said citizen feel second class everyon agr question court,0
314,boom spoke rajasthan polic found dargah still close ralli still close make awar kornaviru,1
343,provinc pakistan famou histor heritag one import center gandhara buddhist heritag,0
129,justic khanna said oppon deci share public deci make process cannot mechan process formal,0
122,mani expect year entertain mani expect film also relea year relea last year,0
202,boom found shiv sena peopl last decemb gave person person chief minist uddhav thackeray,1
192,viral pictur protest assist teacher recruit lucknow demand job youth,1
79,due furi farmer big stir start polit haryana dushyant give resign,0
556,indian armi tuesday reject onlin media report claim china peopl liber armi use microwav weapon ladakh,0
659,boom found text origin photo poster tamper,1
326,china chang e return earth two kilogram stone soil sampl surfac moon,0
562,boom found pictur two differ women share fake claim,1
266,boom found account pictur gone viral johnson fake handl idol ram real pictur,1
259,jammu kashmir action taken remov encroach,0
603,haryana govern seek inform law applic himach pradesh anti conver law,0
597,boom found caption mislead lingayat guru comment relat citizenship amend act,1
24,video claim ceremoni took place mukesh ambani hou kovid epidem,1
80,live outsid european region india instant messag app whatsapp chang privaci polici condit,0
221,boom found viral messag similar warn issu south african govern,1
172,boom found viral pictur aditya pancholi api post bandra polic station avinash nadavinkeri,1
456,investig boom reveal viral video mock drill done hajipur polic,1
588,boom found newspap clip fake onlin newspap creat help clip gener,1
396,farmer demand withdraw new agricultur law law made parliament agit farmer say interest affect law,0
240,amid ongo tension lac india china indian secur personnel tawang sector arunach cold cold,0
30,talk ajit anjum find truth viral video read report boom,1
602,mani area north india includ delhi poison dissolv air due pollut straw crop,0
332,boom discov video record year osmania hospit hyderabad,1
67,claim made viral video say aap parti jihadi mental see ground report understand peasant movement,1
618,nitish kumar player bihar polit know frozen game power,0
265,must heard baba dhaba name weep video elderli man run small food stall went viral,0
550,name woman appear viral photo shakeela begum,1
655,indian foreign ministri openli support presid franc latest controversi islam franc,0
109,freight train two engin contain place,0
52,sumitra nayak face sever challeng includ poverti domest violenc make india nation women rugbi team,0
455,boom found video show remain food leprosi ashram day ram navami,1
290,farmer stand boundari delhi protest agricultur law modi govern accept demand withdraw law,0
443,video made alleg attack arnab goswami wife samyabrata ray goswami,1
534,reason scene netflix show suitabl boy object,0
98,cricket australia relea offici statement apolog indian cricket team host,0
260,boom found viral clip current shot decemb citizenship amend act,1
286,boom spoke kafeel khan lawyer jail superintend dismiss claim left,1
424,farmer organ involv peasant movement strengthen coordin hold review meet everyday,0
438,googl accu misu domin indian market accord expert seriou impact indian internet industri,0
132,listen stori relat rohit sharma life game known hitman,0
134,chine presid xi jinp call armi keep readi war second time within three month,0
566,fake screen grab news bulletin go viral claim scientist remedi coronaviru,1
320,mumbai polic current investig far peopl record,1
320,sambhal district uttar pradesh farmer leader issu notic fill bond rs lakh due possibl breach peac,0
56,claim split due farmer movement bjp,1
512,today cartoon constitut day,0
178,far six round talk held govern farmer organ central govern made clear new agricultur law withdrawn,0
418,boom spoke surat polic confirm video market surat peopl follow lockdown,1
642,boom spoke aaj tak journalist reject statement,1
730,frequent report fire along line control kashmir situat peopl villag settl tell happen,0
468,rajinikanth talk form polit parti sinc also announc form parti,0
284,demonstr farmer appeal peopl play plate singhu border sunday farmer leader jagjit singh dhaliw said,0
125,boom found video shot sana yemen novemb,1
182,case india well known human right activist intellectu jail polic kept refu give glass straw jail know happen far,0
185,farmer movement made headlin end year,0
506,stan swami talk india china border maoist headlin today newspap,0
127,joe bidon describ incid capit build wednesday one dark day histori america,0
95,viral video histor jamra seed shaurya festiv menar udaipur rajasthan march peopl holi,1
121,boom found claim viral post fake screenshot edit rana job,1
229,boom discov truth viral video talk person come back death video,1
120,dhurandhar cricket reject fake news video messag,1
430,boom found incid took place wardha maharashtra june time famili commit suicid due debt,1
616,boom found video two policemen beaten issu challan three biker,1
317,boom talk jyoti paswan found healthi allegedli death hatr paswan live district,1
408,question arisen noth done hindu abhiyukta bareilli muslim accu moradabad immedi sent jail,0
222,today cartoon open driverless metro,0
683,boom found three pictur assam relat opposit citizenship amend bill,1
331,boom found petrol pump poori peopl vandal give less oil measur,1
303,india defeat pakistan first match men hockey champion trophi run netherland,0
344,china chang e return earth two kilogram stone soil sampl surfac moon,0
707,accord nia raid kill suspicion rai fund help separatist extremist activ big news today newspap,0
243,captainci ajinkya rahan india made good start australia test match play melbourn cricket ground australia decid bat first win toss,0
328,boom found handl demand ban china made good mainli bollywood khan gang tweet,1
446,search boom reveal viral clip may,1
650,boom found video origin shot sri lankan jail,1
131,boom found video shot septemb eight year ago perform ys yuke khartaum sudan,1
454,teacher distribut half prize money win crore global teacher prize,0
4,media outlet wire agenc incorrectli claim former pakistan diplomat kill death balakot,1
58,boom talk ravish found made appeal,1
311,aim abu project give abu instead women cast abu,0
332,today cartoon air india auction peasant movement,0
425,hdfc bank spokesman neeraj jha said post associ aditya puri wrong way,1
128,boom found incid took place cafe brazil octob,1
143,boom check video pictur film opposit ralli karachi found tricolor wave,1
589,boom found video two hindu women becam muslim municip elect uttar pradesh,1
669,viral pictur claim perform hindu actual muslim politician,1
448,boom spoke indor polic told note fell man pocket ride bicycl,1
56,india play fourth test match without import player ravindra jadeja jasprit bumrah ashwin due injuri,0
357,whatsapp inbox deliv articl india major fact checker missinform associ chatbott corona viru,1
288,boom search news report news found anywh confirm alleg statement sibal,1
412,aamir khan taken away inform tweet claim go viral fake,1
77,suprem court said committ form resolv issu farmer present report court within two month,0
570,read special print today newspap publish delhi,0
53,claim punjab chief minist mukesh ambani met day bharat bandh,1
730,lucknow polic injur maulana deni commun reason behind attack,1
380,clip show agoni refug rohingya fire camp bangladesh,1
290,vice chancellor pondicherri univ reject claim one student found treatment kovid,1
340,assembl elect held last month bihar nda promi bihari instal corona vaccin free came power,0
376,one even decemb jharkhand becam dread even somari life,0
75,claim social media farmer seen pictur camp outsid delhi,1
457,prime minist narendra modi mind read farmer maharashtra know mind farmer opinion new agricultur law benefit damag,0
