,short_description
0,boom found imran khan critic govern india current regim anti muslim pakistan
1,peopl sikh commun set set set photograph show soot hindi sign board video go viral
2,post share larg number pictur claim social media platform facebook twitter
3,claim bjp leader admit govern wrong public
4,media outlet wire agenc incorrectli claim former pakistan diplomat kill death balakot
5,share pictur user claim pictur mosqu platform old delhi railway station
6,boom found origin pictur year amit shah congratul prime minist narendra modi
7,boom found viral pictur commit year unnao uttar pradesh
8,claim appli vaccin kovid peni give relief viru soon
9,claim viral british prime minist cancel tour india due peasant movement
10,claim pictur show tent farmer collect boundari delhi larg number
11,claim video show prepar parad held januari peasant movement
12,mani news institut includ zee news abp hindi newspap magazin news channel yogi adityanath paid content
13,munawwar farooqui arrest make alleg indec remark hindu deiti amit shah show indor
14,claim muslim demonstr templ demolish miscreant pakistan
15,claim social media viral old man fall dead
16,boom found video india
17,claim tower jio burnt farmer
18,claim amit shah ask build ram templ narendra modi claim kill muslim farmer
19,claim pictur rss camp pictur anna hazar narendra modi pictur
20,claim pictur show atal bihari vajpay mother lap
21,recent pictur share social media platform connect pictur varanasi
22,claim price platform ticket increa ten time adani group goe hand adani group
23,claim video yesterday stone pelt done ujjain today scene hindu
24,video claim ceremoni took place mukesh ambani hou kovid epidem
25,claim hindu woman name ismail kill asha hubli karnataka
26,along pictur claim social media surat singh given food water farmer
27,connect peasant movement user share pictur pay tribut social media
28,claim made social media pictur templ pictur ayodhya
29,accord claim social media gurdwara samiti delib remov rug prime minist walk cold
30,talk ajit anjum find truth viral video read report boom
31,aam aadmi parti share video clip bidhuri realiti articl
32,accord claim social media bilki bano jail day
33,boom found viral video year belong incid darjeel
34,claim policeman shot mother muslim youth got bike delhi polic policeman car
35,boom found pictur start launch bangalor
36,although glass bridg definit built rajgir bihar viral pictur bridg
37,boom found viral pictur belong farmer movement anti caa perform kerala februari
38,boom found person seen video clip pakistani journalist motiv speaker india harshvardhan
39,accord viral claim social media name ahmedabad airport becom adani airport sardar vallabhbhai patel
40,amidst recent farmer perform pictur viral claim prime minist gautam adani wife bow
41,boom found pictur narendra modi attend wed alpa chapatwala daughter former gujarat minist
42,claim pictur show around million peopl come support peasant movement
43,adani wilmar brand actual part brand locomot help railway earn revenu
44,video claim explain real mean salut lovejihad woman
45,claim farmer beat bjp leader umesh singh rai slogan pakistan zindabad
46,viral pictur big mace bow arrow seen middl squar
47,boom found viral pictur made use edit app facil
48,claim pictur current vandal opposit parti bharat bandh bharat bandh
49,claim pictur current time ongo peasant movement
50,boom spoke indian armi spokesman colonel aman anand term claim fake
51,claim pictur ongo peasant movement agricultur act
52,boom found viral clip protest insult scriptur kashmiri sikh octob
53,claim punjab chief minist mukesh ambani met day bharat bandh
54,claim due kisan movement delhi chalo march km long jam nation capit
55,twitter facebook claim soldier sikh regiment resign
56,claim split due farmer movement bjp
57,boom found pictur guru gobind singh jayanti celebr mumbai hrithik roshan attend
58,boom talk ravish found made appeal
59,claim protest citizenship amend act also involv peasant movement
60,claim user tri show statu farmer video
61,claim peasant movement khalistan movement connect among
62,claim farmer insult tricolor farmer movement pictur
63,boom found pictur taken brick factori fatullah bangladesh
64,claim peopl american farmer left honeymoon attend demonstr
65,boom contact person sing song video confirm video record
66,prime minist action secur forc demonstr farmer issu new agricultur law central govern
67,claim made viral video say aap parti jihadi mental see ground report understand peasant movement
68,claim farmer perform pictur carri banner lord ram
69,talk sukhdev singh boom identifi old farmer sukhdev singh told arm back
70,claim today nihang singh left delhi support farmer thousand hor punjab
71,boom spoke electrician nazir muhammad profess told complain polic
72,social media user share pictur connect hyderabad municip corpor elect
73,user share pictur connect recent peasant movement
74,social media user share pictur claim princess bansal
75,claim social media farmer seen pictur camp outsid delhi
76,netsen claim remov kashmir lot troubl grow crop punjab
77,boom found video one icc cricket world cup match viewer support khalistan
78,claim social media user ahm patel last visit shown video
79,boom found video continu rain affect mani area chennai marina beach also
80,boom receiv order issu ministri home affair
81,talk boom bilki bano said yet particip farmer protest soon
82,boom found viral video show elect campaign argentina presid marisio mcr
83,boom discov viral video actual cgi clip
84,boom found pictur share mani congress leader backdrop delhi chalo protest
85,made two ed film unit kingdom
86,viral video claim delhi polic put peopl wear peopl without mask ten hour
87,video clip viral social media claim never seen yogi form modi ji
88,viral post social media claim russia wed muslim non muslim
89,abp news bulletin screenshot use brake news templat unrel photo concern patra
90,boom found bhagwat name ad separ statement report confirm viral statement
91,boom found video belong freight train raigad railway station chhattisgarh
92,boom found viral pictur taken octob ashok gehlot celebr diwali
93,boom spoke organ hindu jagrati mandal found slogan rai ganpati immer thane maharashtra
94,director gener militari oper indian armi said news armi action pakistan akuupid kashmir fake
95,viral video histor jamra seed shaurya festiv menar udaipur rajasthan march peopl holi
96,boom found video shot western java divi indonesia four year old child islam prayer
97,boom found viral video august chief minist burnt cracker foundat stone ram templ ayodhya
98,boom found video chief minist gehlot dungarpur tour syedi fakhruddin shahe galiakot
99,boom found viral pictur actual taken tejshvi yadav protest murder businessman
100,video share facebook twitter islam milit franc recent kill school teacher
101,boom found viral pictur accu separ alleg murder took place district juli
102,boom found viral video lok sabha elect faridabad poll agent vote illeg
103,boom found pictur show ahm khan newli elect us presid biden
104,boom found edit origin pictur figur rohit sharma mumbai indian appli burj caliph
105,america elector process media outlet elect georgia arizona alaska state
106,claim viral photo lose elect bihar sweet thrown rashtriya janata dal offic
107,boom found pictur go viral old
108,boom found video naga sadhu royal bath kumbh mela held prayagraj
109,boom found pictur taken tejashvi yadav visit geneva august
110,boom boom said medic offic sinhawada phc said first aid soldier done one die
111,boom found viral video elect luberatsi citi russia
112,boom found name bird speci andian condor found injur argentina
113,boom found evid confirm cancel right vote muslim denmark
114,boom found video old januari young man disput prayer flight allahu akbar
115,boom found viral post claim fake video gujarat fatehabad district haryana
116,boom found pictur januari three polic personnel beat alleg phone thief deoria district
117,boom found video shot belgian parliament may
118,boom found viral video al ahsa saudi arabia offici destroy bad chee
119,boom found die may last year due hyperten diabet
120,dhurandhar cricket reject fake news video messag
121,boom found claim viral post fake screenshot edit rana job
122,boom found actual cartoon word shaheen bagh ad separ
123,boom found claim viral post fake photo ram templ construct kashi vishwanath corridor banara
124,boom found claim viral post fake pictur pappu shukla gujarat ismail yemen
125,boom found video shot sana yemen novemb
126,ralli belong bahujan samaj parti concern recent bihar elect
127,boom found video made viral connect recent polit commun activ
128,boom found incid took place cafe brazil octob
129,boom found viral video clip eight year old video franc turkey
130,bjp leader includ mani indian news channel mislead claim modi slogan pakistan parliament social media
131,boom found video shot septemb eight year ago perform ys yuke khartaum sudan
132,boom found ralli address modi patna march
133,boom found viral screenshot crop articl wire program smriti irani jnu
134,cctv footag lift woman shown brutal loot unknown assail video malaysia
135,boom found photo old show current statu karachi
136,boom found pictur anti caa protest januari pm modi two day visit kolkata
137,boom found uninstallmyntra viral social media minyantra made viral cartoon
138,boom found origin placard show nigerian demonstr controversi polic unit sar
139,boom found video go viral elect madhya pradesh
140,boom contact kent refug action network confirm pictur one event octob
141,boom found viral claim fake pictur pm modi kolkata ralli
142,boom found total four pictur shahe e azam bhagat singh found till date viral pictur one
143,boom check video pictur film opposit ralli karachi found tricolor wave
144,boom found viral pictur claim fake viral pictur one year old thailand
145,boom spoke maharashtra state cid confirm sanjay shind ncp never involv case
146,boom found two year old video zhang pakistan person seen video arrest
147,video peopl stop road stone man ask polic help
148,bill milinda gate foundat spokesperson reject messag go viral
149,boom found viral video januari nitish kumar went address public meet buxar
150,boom found video claim viral video video bihar dhar district madhya pradesh civic elect
151,boom found claim viral post fake shahi imam ahm bukhari cau viral claim fuck
152,talk boom neet topper akanksha singh father describ disput tweet twitter handl fake
153,boom found woman husband hindu commun angl incid
154,boom get list relea forb
155,boom found polic shoot video actual mock drill held jharkhand polic
156,boom found photo taken decemb mexican leader oppo bill corrupt
157,boom found claim viral post fake incid uttar pradesh kolar district karnataka
158,boom found woman seen pictur pratibha borkar social media charg goa congress
159,photo anti discrimin campaign use spread commun fake inform photoshop
160,boom contact hathra victim brother confirm woman seen pictur mother
161,boom found photo demonstr delhi polic novemb demand justic
162,boom found sever news report told incid dhaka capit bangladesh
163,boom found claim viral post fake case domest violenc kerala bangladesh
164,boom found viral pictur alexand khan satna polic madhya pradesh charg sexual abu minor
165,viral claim fake video octob tmc worker allegedli attack bjp leader subrata mishra
166,boom reject amritsar rural polic dismiss viral claim woman soldier die road accid
167,boom spoke artist janani kurey told viral pictur relat hathra gang rape
168,boom found viral pictur atal tunnel devil slide tunnel california
169,boom found person seen video aap parti leader ajay dutt delhi polic push
170,boom found femal market e commerc compani seen video associ hyderabad offic safe shop india
171,boom found statement ad separ aaj tak bulletin
172,boom found viral pictur aditya pancholi api post bandra polic station avinash nadavinkeri
173,boom found viral pictur bjp yuva morcha vice presid shyam prakash dwivedi kashi provinc
174,boom found viral post taken articl publish satir websit
175,boom found funer scene actual photo
176,boom found video shot srinagar fayaz bukhari report
177,viral clip octob bjp leader subrata mishra allegedli attack tmc worker
178,boom found clip octob crui liner left greec narrow corinth canal
179,boom found viral claim fake pictur share pradeep pakistani actress laden daughter
180,boom found separ slogan written two year old pictur
181,boom spoke victim famili said recogn girl seen viral pictur
182,boom spoke protest injur vt balaram demonstr said pictur farmer
183,boom found video four year old recent pass farmer relat ongo protest bill
184,boom examin viral video photo found show differ incid
185,boom found bjp field candid lok sabha assembl elect kangana constitu
186,boom found incid prakasham district andhra pradesh girl abu ex boyfriend
187,boom found gandhi name includ list hafington post articl later remov remov
188,boom found indian militari line control ad edit background viral pictur
189,boom found rakhi sawant took pictur part shoot issu j c
190,silo built moga district punjab year compani chief offic told boom
191,boom found vote mim written shahrukh shirt viral post ad photoshop
192,viral pictur protest assist teacher recruit lucknow demand job youth
193,boom found video go viral two year old noth recent polit scenario
194,boom found viral pictur old viral post mislead claim
195,boom found one speech mumbai last year distort distort
196,boom found viral video claim chauhan ralli peopl rai slogan kamal nath name
197,univ burn told boom fake letter
198,boom found viral pictur demonstr sikar rajasthan
199,boom found viral pictur perform haryana roadway employ octob
200,boom found pictur dr bhim rao ambedkar wife ad separ photo bu
201,boom discov adverti made amul year
202,boom found shiv sena peopl last decemb gave person person chief minist uddhav thackeray
203,boom found claim viral video fake youth congress beaten bank manag charg delay farmer loan
204,boom found viral screenshot fake uttar pradesh govern offici confirm
205,boom found mosqu actual katra bazar sagar madhya pradesh mumbai
206,patra reiter claim special public prosecutor ujjwal nikam gave state state mumbai attack case
207,video two year old protest viral cap mislead
208,boom found viral claim fake incid happen recent
209,pictur viral claim person seen underworld abu salem
210,boom found claim viral post fake woman seen pictur aliv corp found suitca unknown woman
211,two screenshot viral make fake claim regard open kangana ranaut school colleg
212,boom contact laxman bhadarg told us video shot novemb last year
213,claim pictur three famili
214,boom found handl fake longer exist
215,boom found pictur joint exerci organ china india taken ladakh octob
216,boom found handl earlier name wewantrahul tweet support congress
217,boom found indian media channel ran news wrong claim without check truth viral video twitter
218,boom found video kangsiva cemeteri made soldier kill indo china war
219,boom found thackerayoff fake handl made name raj thackeray
220,boom found collector bhupalp district judg
221,boom found viral messag similar warn issu south african govern
222,accord unit arab emir govern explo cau ga leakag
223,buldhana polic told boom viral pictur school student made day occa women day
224,boom spoke local polic templ priest deni matter commun
225,boom spoke photograph took pictur told pictur five year old
226,boom found four pictur old taken earlier
227,boom found time india news share video fake claim later news remov clip
228,boom found viral pictur old amit shah photo edit appli
229,boom discov truth viral video talk person come back death video
230,boom found gunjan saxena kargil girl film film retir femal helicopt pilot gunjan
231,boom found screenshot news claim fake claim edit
232,boom found pictur four year old newli marri coupl mandya karnataka
233,boom investig viral post social media claim devast flood engulf china
234,boom found video shot new york claim connect riya fake
235,boom found protest organ right wing polit parti septemb dhaka
236,boom found pictur indian ambassador sangeeta bahadur belaru made viral aankhi da
237,boom found pictur avail internet least also narendra modi offici websit
238,boom found victim accu muslim incid bangladesh
239,fake interview state aamir khan say children follow islam
240,boom found adverti relea march time mandatori wear mask viral post mislead
241,boom found sanskrit sentenc alway written suprem court logo
242,boom talk hyderabad polic found peopl involv assault instal statu hinduism
243,boom spoke offic rashtrapati bhavan describ claim fake
244,viral post internet claim thousand student india found posit two week
245,boom found video clip actual discuss mental health held book launch mahesh bhatt daughter shaheen bhatt
246,boom found video shot prayagraj last year ganga jamuna ufan
247,boom found video andhra pradesh peopl seen relat rss
248,boom spoke queen ruddhaj gaikwad reject viral claim
249,boom found video sushant singh rajput seen danc choreograph manpreet toor
250,viral pictur claim amit shah went dwarkadhish templ neg test corona viru
